text,annotation_7,annotation_8,annotation_9,annotation_78,annotation_62
"I will not be taking the risk of dining outdoors. I fear that people will walk by too close without a mask.

I see people congregating to do outdoor dining and it is reckless and not worth the risk. I understand the appeal, but as a covid survivor, even a mild case is no picnic.",pro-mitigation,,pro-mitigation,pro-mitigation,unclear
"To me it's simple.  If people want the right to decide whether or not to get vaccinated, then companies should have the right to give consequences based on that decision.  You don't want a shot?  That's fine, but you can't work here and endanger other employees.  It's not discrimination based on any protected class of views; it's a matter of public safety.

This petulant view that wants all the rights and none of the responsibilities is reminiscent of a spoiled adolescent.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
Companies that offer subsidized group health insurance should raise their rates to cover the additional costs they will bear for employees who will cost them money by being out and potentially impaired long-term when they get ill with COVid.  Individuals who can prove they and their families have been vaccinated can get a rebate on their Insurance.,pro-mitigation,,pro-mitigation,unclear,pro-mitigation
"The antivaxxers can exercise their rights to refuse and the employer can decide not to employ those who put other workers and clients in danger.  Further, someone who is charged with drunken driving may very well find that their auto insurance is cancelled.  Likewise I think should be the case for those choosing to refuse the COVID vaccine.  Let the antivaxxer have his/her/their way but their health insurance company (or Medicare/Medicaid) should be allowed to cancel their healthcare coverage.  Personal responsibility used to be the mantra of what is now the party of the former guy.",pro-mitigation,,pro-mitigation,unclear,pro-mitigation
"When I went to college, I had a medical exam with a list of required vaccines and had to have a tuberculosis test. As a freelancer, I literally couldn't get an in-person booking until I got the vaccine. I had my first haircut in a year and a half last week–when I called to make an appointment and asked about covid protocols, they reassured me that the all the staff had had the vaccine. My doctor still wears a mask, he says that with all the variants going around, he'll be practicing safety protocols.

When I visit my dad, his housekeeper drives me to the airport to make extra cash. The other day, she was preaching personal freedom and doesn't believe that masks helped and that Florida was better off opening up than all the states that closed down the other day. I'll be taking an Uber instead.",pro-mitigation,,unclear,anti-mitigation,pro-mitigation
"Having been vaccinated and currently WFH but waiting to return to office, I want my employer to require all employees to be vaccinated.  Understanding the challenges of making vaccines a requirement, especially since Trump made masks and vaccines a political issue, the alternative is to require every employee returning to the office to be vaccinated OR receive negative result from a weekly approved PCR test, and answer a series of daily health and social behavior questions in order to get an “approved for office” today. Moreover, vaccines and weekly testing requirements should, in my opinion, be extended not just to return to work but to all business activities, including travel and all internal/external meetings.

My employer is not planning to require vaccines or testing when offices reopen, rather it will rely on local infection data to make decisions, which are lagging statistics. Such an approach makes no sense to me as I believe wide spread return to office requirements without simultaneously requiring employees to be vaccinated will result in increased infections, which will lead to more variants. I imagine others feel like I do... I do not want to return to a life of no social interaction because a breakthrough variant has made the current vaccines ineffective. In my opinion anyone able but not willing to get the vaccine is un-American, selfish, unsupportive of businesses, and must believe a return to a mostly shutdown economy is acceptable... I do not!",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"I’m fully vaxed and gladly don my very comfortable and well designed KN95 mask (with changeable filters) in most stores. Doesn’t bother me one bit. If I see someone I know I’ll take it off to talk, provided they don’t appear ill.

My young kids play with other young kids, indoors and outdoors.  It’s a risk I’m willing to take because masking is robbing them of their youth and innocence at this point.  They need to see other kids expressions particularly a smile. They’ve already been scarred enough from the pandemic.

Still don’t go to crowded indoor restaurants and events but happy to sit on a patio with anybody who has their shots.  Anti-Vaxers really anger me.   I’m looking forward to seeing my first live concert with 2019 in the fall.  

Navigating the maze of covid safety is a little complicated at this stage. My sense is by the end of the summer science will have more answers and all restrictions will be a memory but indoor masks will stick around for a while so people don’t catch other respiratory illnesses. Not in social gatherings but in public places.

I’m neither Dem nor Rep but usually support the GOP.  DeSantis is probably my favorite politician at the moment and I don’t live in Florida.",pro-mitigation,,pro-mitigation,pro-mitigation,anti-mitigation
"Another article that totally fails to mention the vast number of restaurant workers who have not been put back on payroll, despite the high amount of PPP loans awarded to establishments and business owners. As a reader and former server, I would appreciate a deep analysis of these statistics. Do the work, NYT. I live in LA, and this is the majority of people I know who make their living working in the industry. They didn't even get the choice.",unclear,,unclear,unclear,unclear
No worries. President Trump stated last night that schools will reopen on Nov 4 because the decision to close schools is political.  I am certain that restaurants and bars have fallen prey to the same sinister politicians and on Nov 4 all will be well.,anti-mitigation,,anti-mitigation,anti-mitigation,pro-mitigation
"Most of the world's population is too young to remember ""smallpox"" and, for US, the vaccinations we ALL received as children, with periodic revaccinations (every 7 years as I recall). I read that, today,  some smallpox virus is in a freezer in some lab, in the event it might someday be useful--it is otherwise extinct on the face of the earth.

In today's world of nonsensical denial of facts and truth,  I worry that Covid will remain a significant cause of illness and death for many years.  Too many people have their own reasons to justify not getting vaccinated and our society seems to be  increasingly tolerant of the rights of these nuts, even if protecting their rights results in harm to others.

Science has made significant advances in recent years, but  common sense is clearly on the decline.",unclear,,anti-mitigation,pro-mitigation,pro-mitigation
The only masks which are truly effective are N95s. They are medical grade and protect the wearer and those nearby. The rest of the masks are minimally effective. The virus particles are so tiny that they can easily evade the “protection” of cloth and surgical  masks. One might as well slap a piece  of Swiss cheese on one’s face.,anti-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I am not an anti vaxxer.  I was vaccinated without one hesitation or doubt.  I am a nurse and want to see the end of COVID.  

But I cannot help but have doubts.  If by any chance COVID vaccine did result in some kind of birth defects if given to women of child bearing age who later bore children, who would be responsible?",pro-mitigation,,pro-mitigation,unclear,unclear
"Am I missing some obvious joke here? New York has had outdoor dining for what, over two months, in pretty full swing. Not ideal, but sufficient to get by for many (not all), and no increase in virus to speak of.

Please, all of you, ask yourselves why the articles you read and the conversations you keep don't emphasize the power simple creativity has over crisis, but rather accentuate failures.",unclear,,pro-mitigation,unclear,pro-mitigation
"At my hospital, Flu vaccines are not required, but if you opt not to get one you have to wear a mask the entire Flu season.  Now of course, everyone is wearing a mask, but someday in the future when COVID prevalence is reduced, maybe the non vaccinated people will continue to have to wear their masks.  And since COVID doesn't seem to have a season, that would means masks  forever.

I don't see why other institutions can't do the same - no masks for the vaccinated, eternal masks for the holdouts.",unclear,,anti-mitigation,unclear,unclear
"The pandemic is far from over.   As much as we would like it to be, it is not.

We have all those who refused to follow basic safety protocols to ""thank"" 🙄.

True, guidance from health authorities has at times been confusing but wearing a mask has been advised for quite a while. 

We who wear masks and take precautions have made it possible for the no maskers, anti vaxxers to go around bare faced and behave like nothing is threatening our health. 

I don't want them to thank us.  I would like them to put on a mask at the very least.

😷😷😷😷",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"So essentially, we are being asked- or told- to wear masks indoors because people who have not been vaccinated- of their own volition- are at risk. The words "" too bad, get smarter "" come to mind. If I am not at risk because I and my family choose to be vaccinated while others didn't and exercise risk behavior, it's time to say- enough. These are adults, they make choices, they want to die, pass it along , get seriously ill- this is America, that's their choice - we made ours, they made theirs, life -or not - goes on. Enough is enough. We have shown the efficacy of the vaccines, shown the downside, offered this vaccine for free.",pro-mitigation,,pro-mitigation,unclear,pro-mitigation
"My sister works for a large corporation who recently said to all the employees that the vaccine would not be required however if they did not get the vaccine they must bring in a negative covid-19 test at the start of each work week. Further, the employee was responsible for the cost of those tests.

So you don't want the vaccine fine but you're still going to offer some level of protection to the rest of the employees. This seems fair to me.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"The US strategy is to allow the virus to run through the population, is that the price of freedom?",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Imagine if Covid killed 50% of those who came in contact with it. There wouldn't be any debate about mandatory vaccinations under those circumstances. How low do the numbers have to go before the false dichotomy of ""health advocate or big brother"" becomes a relevant talking point? We are working on 600,000 dead Americans, here. Refusing to get a shot is grossly negligent; every corporation in the country should mandate that both employees and customers be fully vaccinated.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"40 years ago, when one of our class of graduate students contracted tuberculosis, all of us, students, faculty, and staff were required to line up for TB tests.  They didn't ask if we wanted it, they didn't ask if we believed in it, they didn't ask if we were scared of it (one faculty member passed out from needlephobia).

Stop treating these babies like adults. Tell them to get vaccinated or find another job.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I wasn’t allowed to burn leaves in my yard because doing so would burden the health and well-being of my neighbors. I could cite dozens of similar examples of how we all accept limitations on our freedom of behavior in order to live in a safe and well-ordered society. 

Today’s emphasis on ""privacy"" and individual ""rights"" has gone to extreme, one that the ignores the common good—in this case, the very lives of our coworkers—and one spurred on by a legal industry just salivating at the thought of all those vaccination-related lawsuits.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"Just read:
“ Pfizer and the German company BioNTech have become the first companies to apply to the U.S. Food and Drug Administration for full approval of their Covid-19 vaccine for use in people 16 and older. The vaccine is currently being administered to adults in America under an emergency use authorization granted in December.

The approval process is likely to take months...

It could also make it easier for companies, government agencies and schools to require vaccinations. The Equal Employment Opportunity Commission said in December that employers could mandate vaccination, and legal experts have generally agreed.”

So we are months away from most or all companies, government agencies and schools requiring vaccinations.

For each individual, getting vaccinated as soon as possible - even under FDA emergency (not full) authorization remains the right thing to do, so we can collectively achieve herd immunity via vaccinations (as opposed to infections and death) as soon as possible.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I am tired of hearing about ""delicate balances"" and individual rights.  This is a PANDEMIC, folks.  Do you understand the implications of the concept?  There are sectors where the safety of the people requires vaccination: airlines, health care, food services.  What if we stop requiring basic sanitary practices so not no offend anyone?  What if we allow crews potentially carrying covid in a flying sealed tube where, no matter what, you will very likely breath air cotaining the virus exhaled by a member of that crew?  Your right to risk your life ends where the risk you assumed threatens the rest of us.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"You should not be required to go to an office that can’t verify whether the people inside are vaccinated from COVID, because it is highly contagious.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"I think there are safe ways to eat outside spaces appropriately. I have done it multiple times and will continue to do so. As long as you are not sitting close to any other tables, waiter is masked and you are wearing a mask when you are anywhere about your table there truly is low risk and I don’t think anyone has any actual data to say otherwise. ￼￼Like the article states there are no outbreaks attributed to eating at a restaurant outdoors. Indoors and crowded bars are completely different story. ￼￼￼",unclear,,pro-mitigation,pro-mitigation,unclear
"This 'medical privacy' thing is out of control. Employers have the right to require employees be vaccinated, and we customers have the right to know if we're shopping/eating at an establishment where all employees have been vaccinated.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I very much enjoy restaurants but have patronized only take-out from my favorites since February.

Think back to your time in college.  How often did you go to restaurants and bars?  My food and drink palate has changed considerably, but the local bars and affordable greasy spoon restaurants got my dollars back in those days.  The associated independence and freedom of choice was a rite of passage.  After reflecting on that time in your life, tell me, how much will any open college town bars/restaurants be patronized with non-social distancing students these days and what will be the price?",pro-mitigation,,pro-mitigation,anti-mitigation,unclear
"Some observations from an elderly South Floridian:

First, the recent surge down here --now apparently easing-- is predominantly due to teens and millennials partying.  Closing the bars --obviously a sensible notion -- moved the drinkathons to private residences.

Second, all restaurants are not the same.  Many don't serve alcoholic beverages, ergo they don't attract crowds.  Our occasional recent forays into local favorites have found them virtually empty, otherwise we wouldn't go in.  Easy to maintain social distancing under those circumstances; hard to see how long they can remain in business.

Third, mask usage in stores now seems ubiquitous, a good thing.  I do wish the media would let their readers know a dirty little secret from the contact tracers:  They focus on prolonged exposure --five to fifteen minutes -- at close quarters.  It would help many feel a little more secure about their grocery shopping.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
Require new ID badges to enter the company premises as of a certain date say 6 months out. That's a lot of lead time. To get the new ID badge you have to show proof of having completed COVID vaccination. This provides all who work at the company with a safer workplace. When the company does this the vaccine hesitaters will jump through hoops to get vaccinated. The new badge gives employees a visual reminder that they work for a company that stands for a safer workplace. End of discussion and we all move on. See: Real ID for drivers licenses and air travel.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Just to add to the experience/approach in Saskatchewan, I think the comments this week of the newly installed Chief Medical Officer of the Province of Ontario are worth noting.

IN my Province we now have about 80% of the adult population with at least one COVID 19 vaccination shot., and close to 40% of the same population fully vaccinated with 2 shot.

The pressure to speed opening up and relaxation of health measures is overwhelming, but public health officials are finally being listened to by politicians  (having gone through a 3rd wave.

The Chief medical Office said ""On average ""delta"" wants to go from one person, to six, to thirty six to two hundred fifteen in a 1 to 5 day cycle. For all these reasons we need to be cautious, we need to be prudent and we need that 21 days [pause between phases of opening up] to understand the impact... We never want to take a step backward. We only want to be moving forward"".

I received by second shot this morning, and with it came a fact sheet that cautioned me to continue with distancing and mask wearing protocols.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"two frustrations with the article:

why not talk to companies and employees who work where the flu vaccine is already required? this reads as if we have no experience with this issue.

secondly, you write that employers worry that they will lose employees if they mandate vaccines ... no word about employees who will come back ONLY if the vaccine IS mandated. I think the number of people who will want to work where the vaccine is mandated is high, yet you completely ignored it for this article.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Unvaccinated Americans perpetuate Covid spread and ultimately virus mutations by not shutting down the spread of the disease. The fears of the vaccine can be easily and objectively disproven with scientific medical data. 

This article talks at length about legal exposure to companies mandating vaccinations. But what about the legal and medical risks for not having a mandate? Doesn’t that imply that your organization is not taking reasonably precautions to keep you workforce safe? And realistically isn’t that a far larger problem?

I heard a lawyer speaking a few days ago. He wanted to mandate vaccinations for all his staff at his firm. His HR department said he would have to make accommodations for those who wouldn’t comply. He decided to let those staff work remotely but they would have to have a camera on them at all times during the work day. I’m sure the recalcitrant would hate that. I think it’s a brilliant solution within the acceptable boundaries.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"We need to step back and think about why viruses such as influenza and Covid are around in the first place.  It's natures way of strengthening a species, culling the weak and the sick.  There's nothing like a good pandemic to naturally reduce the human carbon footprint upon the earth.  So let the smarter ones take the vaccine and let nature have free rein on those not so inclined to do so.  After all, isn't stronger, faster, smarter what we're all about anyway?",unclear,,pro-mitigation,unclear,unclear
"I’m vaccinated...but I do understand some people’s arguments (younger, liberal folks included) against immediate vaccination. I’d say a good percentage of current unvaccinated people plan to get a jab eventually but are waiting a bit longer to see if there are any adverse results that haven’t been detected/reported yet. We are at, what, 40 percent vaccinated currently? Maybe in a month or two, when 65 percent is inoculated and just fine, more will be persuaded. Of course, in the meantime that increases the chances of Covid variants developing, putting us ALL back to Square 1...but I can see the concerns of not wanting to be the guinea pig for a fast tracked concoction.",unclear,,pro-mitigation,unclear,unclear
"There are a number of commenters who are saying that unvaccinated people can still cause vaccinated individuals to become sick with COVID. They really can’t. They may cause them to be infected, mostly asymptotically, and almost never with severe illness. So, while we should be disappointed, even angry, with the unvaccinated for not doing their part to reduce the spread of COVID, we should not fear them as vectors who will cause us (or our elderly, vaccinated parents) to die.  And please don’t invoke variants here. There is mounting evidence that the vaccines approved in the US protect against variants.",unclear,,anti-mitigation,pro-mitigation,pro-mitigation
"If you are vaccinated and basically healthy your odds of ""breakthrough infection"" are low and will almost certainly be totally asymptomatic or so mild as to make no difference. Moreover you are highly unlikely to spread the disease even the new variants. 

Going into a panic and reinstituting mask mandates as LA County is doing undermines credibility and accomplishes nothing.

Far better to just keep people informed and remind those who are very elderly or have compromised immune systems that even if vaccinated a mask is prudent indoors for that particular group. 

Life is not a zero risk game. If my risk = low chance of an infection that I most likely won't even know I have that will do me no harm and is highly unlikely to be passed to others...

I'm not wearing that thing on my face in 100 degree heat. 

Period.",anti-mitigation,,anti-mitigation,unclear,anti-mitigation
"We need to step back and review how much credence we've given the crazies - the anti-vaxxers, the big lie believers... Sane folks need to value what is right and ensure that society at large benefits from what is right. Enough coddling the crazies, just because they exist in great numbers. We need to get back into the driver's seat and put the crazies somewhere safe. We will continue to live in pandemic times unless we all comply with sound public health measures - enforced by whatever legal means we have available.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"I am retired physician and immunocompromised .Mask  wearing ,hand washing and respectable distancing is the cheapest and probably the most effective way of prevention.For me it is my religion and for anyone who wants to  spend time with me.

highest price /earnings ratio !!!",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
WHO and CDC have lost a lot of credibility. Should never have said take off masks once vaccinated in the first place. Way too late to put that horse back in the barn.,pro-mitigation,,anti-mitigation,pro-mitigation,unclear
"I’m sitting outside at a NYC restaurant right now - it is a nice night out, people are enjoying the meal, restaurant workers are getting a much needed paycheck. The increases in Covid cases was really due to very crowded indoor *bars* that masqueraded as restaurants, mainly in states that never reduced their COVID cases enough. In states where they reduced COVID cases and have introduced indoor dining, like Maine, it hasn’t been an issue.

At the end of the day, we all need to figure out ways to restart normal activity - schools, work, and yes, restaurants - while implementing precautions (masks, cleaning, testing) and being safe.",unclear,,anti-mitigation,pro-mitigation,pro-mitigation
"""To get federal aid, restaurants were first required to spend 75 percent of that relief on payroll ... But the only way this was useful to businesses, restaurant owners said, was if they were able to reopen and generate revenue in that period, which was nearly impossible.""

So many business owners can't understand the rationale behind the Paycheck Protection Program!  

The money was not provided so you could stay open, it was provided so you could keep your workers on the payroll while you were shut down.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"If companies make people return to work, then they must make vaccination mandatory and available. We seem to have lost perspective. We are in a public health emergency. Previously with vaccination refusal, it was a case of religious beliefs, not a political statement.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
I would like to see the numbers on barber shops and salons in their reopening.  As educated and licensed professionals in my state their practices of infection control was that of trained professionals. I think they may have been unfairly targeted as places the virus spreads.,unclear,,anti-mitigation,unclear,unclear
"Consumers and companies are ultimately paying for medical costs. The allowance of a multi-million dollar claim for a Covid incident is not good policy by any employer, self insured or not. While a governmental requirement for vaccines would not go over well, the requirement for vaccines by an employer would be understood - get the vaccine or give up your job. Employers need to step up to the plate and make the vaccine a requirement.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
Not discussed here is how economists estimate that over 80% of small business owned restaurants (many by minority groups) will not survive into next year. That economic hit and its impact on funding our government programs will lead to a public health crisis of its own (think deaths of despair) on top of the existing mental health crisis of our youth from the measures already taken by state and local governments (not just Trump.),unclear,,unclear,unclear,unclear
"I think it will still be difficult to force somebody to take a vaccine that is designated ""Emergency Use Authorization"" which means it does not have full approval.

Pfizer and BioNTech asked the Food and Drug Administration Friday for full approval of the companies' Covid-19 vaccine. If approved, it would be the first Covid-19 vaccine in the United States to hold that distinction.

There are no other vaccines that are required that do not have full approval.  To compare one of the Covid vaccines (which is EUA) to any other vaccine (with a BLA) like MMR, polio, pneumonia, flu, etc. is not a valid comparison because they are all fully approved.

For example, there are different evidentiary requirements for licensure of a Biologics License Application (BLA) and issuance of an EUA for a vaccine. Furthermore, an EUA expires upon termination of the relevant emergency declaration, whereas there is no “termination” of a BLA.

Likewise, if there were problems (like with J&J) with a fully approved vaccine there would not just be a week or 2 pause with a recommendation to not use - instead there would be a recall.

I assume once the Covid vaccines are fully approved there will be less resistance.",pro-mitigation,,pro-mitigation,unclear,unclear
"“But the short-term gains have led to broader losses.”

The American national motto, not just in the time of COVID but in the 21st century. That can go on our tombstone.",unclear,,unclear,unclear,pro-mitigation
"Expose the antivaxxer crowd as the disruptive ne'er-do-wells they truly are.

Don't let them in the office, in stadiums, stores, schools or restaurants.

Let them enjoy their choices as social pariahs.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"We are so concerned with protecting others lives but not the ones in the womb.  

Abortion is a choice and believe it should continue to be. 

Vaccinations should be my choice right...my body.",anti-mitigation,,anti-mitigation,anti-mitigation,anti-mitigation
"Should an employer allow an employee at their workplace to fire a gun randomly at various intervals while working throughout the day?  I do not think so.  What is the difference when an unvaccinated  employee comes in and interacts with other employees and customers?  Catching this virus may result in a minor inconvenience for some, lifetime problems for others, and death for others.  Same results as a gun shot wound.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"Every day I become angrier and angrier about the anti-vaxxers. Even though I’m vaccinated, the Delta variant could potentially be dangerous for me. When did this country become so crazy? Oh, yeah. Trump (and the internet).",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"As the current data show, those who are vaccinated are unlikely to be infected and thus become possible spreaders of the Covid19 virus. Being vaccinated is not a matter of personal privacy or any other personal anything. Vaccination is a matter of public health. Those who are not vaccinated should not be permitted to use any public facilities. Get over it anti-vaxxers. Believe whatever cult theories you choose to believe. But keep you potentially lethal exhalations in the privacy of your own home. GET VACCINATED OR STAY HOME.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"If you are not vaccinated you are susceptible to getting Covid 19 and infecting other people, including those who have been vaccinated. Why do you have the right to make other people ill, or even die, by spreading an illness that is so virulent and can cause very serious long-term side effects? At the very least, companies/employers should be required to know which employees are vaccinated and which are not, and require workers not vaccinated to wear masks and social distance.  

I fail to see why my right to stay alive should be superseded by your failure to vaccinate. Why is it not an invasion of my privacy to be forced to associate with people who may be spreading the virus and putting me at risk? Why is it an invasion of your privacy to require you do something that will protect yourself and the people around you? Especially since it is increasingly clear that the vaccines are safe and extremely effective, as the is shown by the dropping numbers of cases and reduction of illness and death.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Reading these comments. No one knows the long term effects of the vaccine.... don't dismiss people's concerns. That's part of our problem. I am vaccinated and 100% for them, as their efficacy has been proven. The alternative is a covid-mutating virus that will be here for ever..... so the risks outweigh the fears in my opinion... but you don't convince someone who is afraid by dismissing their concerns. Especially when they are valid.  I also wonder about mandating a vaccine that is only approved for emergency use only... I think it's just a matter of time before full FDA approval but I do think you can't mandate any vaccine that is just for emergency use only, there must me a legal precedent there? Stay safe folks but LISTEN as well",pro-mitigation,,pro-mitigation,unclear,unclear
"It is all about public health in a pandemic not individual freedom. 

Hey you are free to rob a bank, drive 110 MPH but does a reasonable person?

I am sure healthcare insurance companies are watching and will price the healthcare risks, short term and long term, of not get a vaccine.",unclear,,pro-mitigation,unclear,pro-mitigation
"At my clinic, I’ve had a few folks who work in high risk industries like nursing homes and factories, tell me “I’ll get vaccinated when my employer requires it.” So once the vaccine is past “emergency use authorization,” I hope employers require it. We healthcare workers have been required to get the flu vaccine for years, and flu is a much smaller risk than Covid19. Also, the flu shot is much less effective that the Covid19 vaccine.",unclear,,pro-mitigation,pro-mitigation,pro-mitigation
"I stayed home for a year, never got COVID and am fully vaccinated. I have rights too. I have a right  to not be on a plane with unvaccinated people. I have a right  to not be cared for in a medical facility by unvaccinated people. I do not want to patronize a restaurant where the staff is unvaccinated. I have a right to know. I have a right  to not share office space with the unvaccinated.  I have a right to be safe at work. I do not want my kids to do virtual school so I expect students who want to be on campus to be vaccinated. The kids and young adults who are vaccinated have rights too. Health systems mandate flu shots and should mandate COVID vaccines. If businesses do not mandate there are other ways to incentivize. The unvaccinated can work from home or share their own floor and mask at work. The vaccinated have a right to a full life and vibrant economy.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"This is simple-  
Viruses are inherently weak and can not survive on their own.
They need a host to continue to survive.
Each time they hop to a new host they have the opportunity to mutate.
Mutations are unpredictable. 
Viruses can mutate into something stronger and more resistant to vaccines and meds. (Think antibiotics)
Wearing masks is a one very simple way to keep the virus from finding hosts.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"No one should eat in a restaurant, ever.  Even without the pandemic.  Junk food, expensive junk food.

Bars should not exist.  No respectable person goes to a bar.  Alcohol is for the family dinner table, in moderation, and for nowhere else.",unclear,,unclear,unclear,unclear
"Easy solution. Until the vaccine goes away.

If you get the vaccine you can work in the office.

If you will not get the vaccine you work from home.

Until the virus goes away no other alternative.",pro-mitigation,,pro-mitigation,pro-mitigation,unclear
So much security theater while the most vulnerable still lack non-bankruptcy-inducing health care or government assistance to keep them home if sick.,pro-mitigation,,unclear,anti-mitigation,unclear
"Avoiding restaurants will fatten your wallet and lighten your weight, instead of the other way around.",unclear,,unclear,unclear,unclear
"In Galapagos, ALL expedition cruise ship employees are being vaccinated as I type.  No issue there.   It's good for you, it's good for your family, for your community, and it will be good for business.   PLEASE make them mandatory, otherwise there will be on-going outbreaks, that will force never ending closures.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
Companies can’t demand inoculation however they can bring them on site and provide time for the employees to receive it. That’s how it works for mammograms and basic flu shots,pro-mitigation,,pro-mitigation,anti-mitigation,pro-mitigation
"This article is about where outbreaks have come from, but I don't think the headline that bars and restaurant owners wanted to get back to work is accurate. Bars and restaurant owners have felt compelled to reopen in some capacity due to the lack of support required at the state or federal level (PPP has been problematic and not the financial or legislative fix needed to save bars and restaurants). The effort required to pivot a million times, keep employees safe, and try to meet pre-pandemic expectations from guests has created constant stress, and it's not profitable. And because the take out only scenario is really, really not profitable, we end up with businesses making irresponsible decisions about dine-in. But when the alternative is shutting down, defaulting on one's lease, and risking a lawsuit from the property owner (a real threat), what does one do but keep going? Five months in and few have received the concessions needed from their landlords to feel confident about their businesses making it thru the coming fall and winter.",unclear,,anti-mitigation,anti-mitigation,unclear
"Requiring everyone in the US to continue to wear masks in indoor public spaces gives significant protection to those who are unvaccinated, those who have only one of two shots of the Pfizer or Moderna vaccine, and the immunocompromised, who may have received the two shots but have limited or no protection from Covid. 

Roughly half of the population of the US is in one of these three categories and remain vulnerable to Covid, the Delta variant in particular.

Not requiring masks encourages the country to return to normal. The problem is that the population as a whole has limited or no protection from Covid. We are in no position to turn the page on Covid.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"A lot of self righteous commenters sure that their decision not to attend a restaurant for 6 months is saving the world from calamity. 

Vermont has had restaurants open for dining (both indoors and outdoors) for 3 months and has the best Covid record in the country. Also in that time: less than 5 deaths from Covid in the entire state. 

Seems to me that doesn't support a correlation between dining out and Covid deaths.",unclear,,pro-mitigation,anti-mitigation,anti-mitigation
"It’s the lives of Americans everywhere and of all ages that are at stake here. 
Monetary incentives and reasonable persuasion are the best tools to bring about an increase in vaccination rates. 
But if they prove inadequate, the vaccinations should be required by employers, with medical and religious exemptions permitted.
Any persons, without bona religious or medical reasons, whose politics or inability to care about the lives of others causes them to refuse vaccination should be required to keep their suicide to themselves!",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"The problem is air.
More exactly: not enough fresh air.
It’s not so much socializing per se.
Its congregating in places that have AC.
The increase in cases in warm states happened when everybody started hunkering indoors under AC.
Thats the red thread that explains much of the southern outbreaks this summer.
AC = lack of fresh air = recirculating peoples breath
It is crucial for us to understand this now before winter causes the same problems in the North.
All these LEED certified buildings will kill us if we don’t.",unclear,,unclear,pro-mitigation,anti-mitigation
"I just don’t think this is a smart strategy. The goal is to get more people vaccinated. If certain people (you know the type of people I’m talking about) hear that they have to keep wearing a mask anyway, many won’t get vaccinated. 

We have less than 40 percent vaccinated in my county. Will they get vaccinated? The vaccines are free and widely available, so I don’t understand what the problem is. Oh wait, yes I do. Ignorance: ignorance is the problem. We have to walk on eggshells to keep from upsetting these people simply because they are too ignorant to get vaccinated. Variants will take root and we’ll still be dealing with a pandemic this time next year. Though I’ve been vaccinated since early May, I’m still too scared to go in large stores because I know that most of the people inside aren’t vaccinated. 

How do you get the Deep South vaccinated? You tell people that college football season will be canceled if they don’t get vaccinated. You go on Fox News and Newsmax and tell these people that variants could emerge that evade the vaccine and upend college football season. I’ve concluded that this is the only way to get through to these knuckleheads.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"This is an irresponsible headline.  It gives the impression that if bars and restaurants were to reopen all the former patrons would come storming back in.   Here in San Francisco we have a very few neighborhoods that look like the picture on your story.  In the rest, the outdoor tables sit empty even on Friday or Saturday night.

People are not staying away because the government tells them to.  They are staying away out of fear of the virus.  Demand will not return until the virus is eradicated no matter what the government says.",unclear,,pro-mitigation,unclear,unclear
