text,annotation_64,annotation_60,annotation_61,annotation_63
"This is a brand new viral pandemic and we don’t yet know how it’s going to play out. If vaccine protection is transient or increasingly ineffective as new variants emerge, or if a substantial number of our fellows remain available to keep it propagating, then we’ll need ongoing public health measures for everyone’s protection. We can certainly try incentives first, but at some point there will have to be mandates much like there are for public school attendance. Ideally vaccines will also need formal approvals beyond EUA’s.

We should also remember that some of those vaccinated won’t be adequately protected. People who’ve had strong chemotherapy or take powerful immunosuppressives for autoimmune diseases or have one of the many congenital immune deficiencies (and there are millions) can safely get a vaccine that’s not a live virus, but can still remain extremely vulnerable to Covid. And a small percentage of healthy vaccinees can still get infected. A fully vaccinated Golden State Warrior player recently came out and described how seriously ill he’s been for the last few weeks, and I wouldn’t wish that on anyone. 

Covid 19 is no joke and I have no respect for those who choose to be uninformed and an ongoing threat to their fellows. Try the carrot and maybe we’ll get lucky enough with that. But at some point it’s likely the greater good will require sacrifices or penalties so we can all move on.",unclear,unclear,pro-mitigation,anti-mitigation
"I just spent 3 days in Detroit at a conference interacting with literally hundreds of people without a mask or a vaccine. I didnt get Covid. Covid fearmongering is so tiresome. Cases have drastically fallen to the lowest levels since testing was widely available. The Delta variant is more transmissible but there is not a lot of concrete data proving that its more deadly. It has this scary sounding name and gets hyped up by the media, but in reality its just Covid. Im not afraid of Covid, and no one is going to scare me with media hype. As an MIT-educated biologist, I know data. And data shows that Delta is not some new scary thing but rather just another version of the same disease we have been dealing with for 18 months. Sure, its more transmissible. But viruses generally evolve to become more transmissible and less deadly. Covid will do the same. By the time we get to the Omega variant we will have a common cold. Stop being afraid. The media is the virus.",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"This is a wasted opportunity for companies to step up and help society by mandating the vaccines for their employees (with exceptions for legitimate medical reasons, of course). There are already many precedents for arguably worse invasions of privacy in the corporate world, including mandatory drug testing (ie. urine tests) and intrusive personal background and credit checks during hiring.

In the short term, unvaccinated employees prolong the pandemic and endanger not just themselves but their customers and coworkers as well.

On a broader level, declining to take a free vaccine that has proved incredibly safe and effective in the midst of a deadly pandemic shows a staggering lack of good judgement. If an airline attendant, for example, won't take this common-sense precaution to protect themselves and others, how can I be sure they will make a better judgement call in the event of an in-flight emergency? 

Employees are routinely fired for exhibiting poor judgement in other ways, such as posting an offensive comment online or being caught on video doing something that reflects poorly on their employer. Vaccine denial seems like an equally valid way to filter out employees a company might not want anyway.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"Republicans are mostly hurting themselves when they don't get vaccinated and don't wear masks. If the delta variant breaks out in the USA, Republicans will be the ones hit the hardest.",unclear,pro-mitigation,pro-mitigation,anti-mitigation
"Where I live there are plenty of folks willing to let strangers sicken and die because their imaginary sky gods will sort it all out afterwards.
Not having an imaginary sky god, despite having been vaccinated, I'll wear a mask and avoid the deluded. There are worse forms of contagion than Covid-19.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I haven't eaten out in a restaurant at all since this started, and I won't until there's an effective vaccine. For those who say that could be a year or two away, THAT'S FINE, I'LL WAIT!

A meal eaten at a restaurant is not worth risking my life over, nor is it worth risking the lives of my nearest & dearest.

I have the patience to wait this out, and it's too bad so much of this country is afflicted with a ridiculously short attention span AND the entitlement virus.

Let me put it this way: If World War II happened now, we wouldn't stand a chance, b/c everyone would be so lazy, so out-of-shape, and so selfish - totally unwilling to ""do without."" It would end up being easier to learn how to order from Mickey D's in Russian or German.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Can't this be turned the other way around ? What if I get sick because my coworker is not vaccinated ? Or because my waitress isn't ? Will the company be liable for that ?

I'm all for privacy, but we already lost so much time (and so many life !) wondering about those questions. If people were responsible and able to understand that their liberty stops with the liberty of the others starts, that wouldn't even be an issue. Since it is not the case, maybe we can act first with temporary rules and in the meanwhile think about the fairest way to handle this.",unclear,pro-mitigation,unclear,anti-mitigation
Companies who no longer have any loyalty to their employees have NO business directing their employees health care decisions.  My health care is not a collaborative exercise for managers who have no real concern for me or my family.,unclear,anti-mitigation,unclear,anti-mitigation
"Move the goal post.  When the facts change, I change my mind, what do you do sir?  The new variant changes the facts.",unclear,unclear,unclear,pro-mitigation
"“Delicate balance”?

Nothing “delicate” about possible death (to self or others), long term incapacity, etc — on the other side of that equation.

Get your vaccine. Do the right thing.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"""Big brother""? No. Companies requiring vaccinations are simply choosing to operate in their self-interest, as is their right. Employees and customers also have the right to work/shop elsewhere. In a free country, preservation of the freedoms of individuals AND companies is important!",unclear,unclear,pro-mitigation,unclear
"If people were bleeding out their eyes and ears, or coughing and vomiting blood, like with Ebola, they’d get the vaccine.  Instead they think THEY can handle Covid, not caring about spreading to others who can’t. This selfishness is a failure of our nation.  We call ourselves a “Christian” nation but it seems these same “Christians” only think about themselves, the opposite of their leader’s teachings.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"“Don’t Tread on Me”, one of the Trump Insurrectionists’ favorite rallying cries, will be replaced by the liberty-loving warning “Don’t Vaccinate Me”!",unclear,unclear,pro-mitigation,anti-mitigation
"The CDC prematurely rolled out guidelines saying that unvaccinated people didn't need to wear masks indoors anymore, regardless of the vaccination status of others. The WHO and LA County guidelines are much more protective and conducive to stopping the continued spread of Covid. My family and I are fully vaccinated and we are continuing to wear masks indoors unless we are with a small group that we know is also fully vaccinated. At this point, there is no clarity from the scientists about the likelihood of vaccinated people contracting long Covid from a mild or asymptomatic infection, so we don't want to take that risk. We also don't want to risk being an unwitting transmitter of the disease to others who cannot get vaccinated or who don't have a strong immune response.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I mean, I suppose it comes down to what the goals are, doesn't it? Is the goal to have absolutely zero spread, ever? If so, we'd have to gird ourselves to the idea of permanent masking. Obviously that's unrealistic, and a slippery slope. Is the goal to maintain adequate hospital beds, etc to care for those who have the most serious reactions to the virus - as was the rationale so many months ago? Well, have we done that yet? I'd like more reporting that gives us this information. We need a very clear explanation of just what we are trying to do here.",unclear,unclear,anti-mitigation,anti-mitigation
"As the headline implies...privacy is on a spectrum...with common good at the other end.  HIPAA, guns, vaccines, voting rights, drivers licenses, taxes, religious “freedoms”...they’re all impacted...and all part of this spectrum.

Having lived in the world pre-HIPAA, I know that there are risks and benefits to be considered.  Personal privacy vs public health.  And I also think we have gone too far...sacrificing the common good for individual privacy.

And I think it is my own party...the Dems...who have taken us too far.

Time to reconsider.",unclear,unclear,unclear,unclear
Why should I have to work with someone who refuses to be vaccinated for dubious reasons.,unclear,unclear,pro-mitigation,pro-mitigation
Everyone needs to grow up and learn to cook for themselves. Sheesh.,unclear,unclear,unclear,unclear
"In choosing to not receive a vaccine, a person chooses to put others at risk. This isn’t a game. Mandate vaccines. Back it up with heavy fines. Save lives.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"What about people who have already had the virus and have developed antibodies naturally?

This is just as good as having the vaccination, and many scientists think it is even better, as you have been exposed to the whole virus.

A positive antibody test should count as much as having the vaccination.",unclear,anti-mitigation,anti-mitigation,pro-mitigation
"Wear a mask in stores to show your consideration for the people who work there. Don’t make them guess who is vaccinated and who is dishonest. These employees often have children at home who are too young to be inoculated. This is especially true when you work closely with associates, such as at salons, shoe stores, and post offices.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Polio elimination is a magnificent feat of public health.  Back in the late 50s and early 60s when we were standing in line (at local schools) for our sugar cube vaccines you just didn't hear the idiocy coming out of antivaxers today.    Today idiocy is in fact the public policy.  Hating vaccines is a litmus test for the Jan. 6 crowd.    Here's a chart of polio cases in U.S.:

<a href=""https://ourworldindata.org/grapher/reported-paralytic-polio-cases-and-deaths-in-the-united-states-since-1910?country=~USA"" target=""_blank"">https://ourworldindata.org/grapher/reported-paralytic-polio-cases-and-deaths-in-the-united-states-since-1910?country=~USA</a>",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Here in Europe, many countries implemented drastic lock down which have huge economic but also psychological impact. As soon as the lock down were progressively lifted, cases rise again then government blame the population (especially the youth) for improper behaviour and reimplemented a semi lock down with facemask everywhere, drastic conditions and threat that this will get worse if the population does not improve their behavior that few people enjoy going out any more. Social contacts are severely restricted and freedom to assemble doesn't exist any more. Policeofficer ready to fine group of people that assemble peacefully or don't wear face masks (even outside in some places). I see Europe turning into a dictatorship. Doctors and epidemiologists say that this is the new normal and that we will have to be used to that until a hypothetical vaccine that may or may not be effective. Is that the world we want? You cannot judge the effectiveness of the measure just by counting the covid19 deaths putting every else aside.",anti-mitigation,unclear,anti-mitigation,pro-mitigation
"This article misses an important group: customers. As a customer, I prefer to deal with and patronize businesses that have vaccinated all their employees. At the very least businesses should try reserving special times or special sections for those who are vaccinated. like they have done for the elderly and immunocompromised in supermarkets during the pandemic.


People who are have medical exemptions can wear a mask and join the vaccinated group. For example my family and I have business in another state and we are thinking of taking  Amtrak. If Amtrak had cars specially designated for the vaccinated or times that trains traveled with vaccinated passengers and vaccinated employees, we would be more likely to use their service.

I predict that businesses which are able to get all their employees vaccinated or Institute such special measures will survive, attract more customers  than those who do not.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"In California we let down our guard for a week of indoor dining (no bars) and wham, cases began to surge. We're back to outdoor dining only (with masks and distancing) which is really enjoyable in in some ways very creative. I do wonder what the winter will hold with rain, wind and cold fronts. I remember visiting Oslo where all the outdoor diners (who were also smokers) were provided with fur wraps at their seats. An idea? Well, no fur in California but perhaps fake?",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"There is zero evidence of vaccinated people spreading the virus. How many people are getting reinfected? I think they must be immune deficit, and will not respond to the virus either, I thought it was very rare.",unclear,unclear,anti-mitigation,anti-mitigation
"I teach high school, and have spent the last few days studying vaccine history to share with my students.  You have to be over about 65 to remember the times when children were sick many times during childhood...and many of them died.  More had lifetime complications.  It is because so few in the population can remember those days that these anti-vaxxers can have such a cavalier attitude.

A brief list of some of the childhood diseases we no longer suffer thru: smallpox, measles, diphtheria, polio, mumps, chicken pox, pertussis...we no longer have to suffer with tetanus if we get a puncture wound.  Rabies can be ended.  Women will not suffer from genital cancers. We have developed many more vaccines for less common diseases so that no one has to suffer with them either.

This anti-vaccine hysteria is absolutely insane.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"This is a public health issue and state/fed govt should have the  authority to mandate vacs - unless there is a disqualifying medical condition. Proving vac status seems problematic ... some see laws requiring the presentation of any type of ID as an overstep or violation of civil liberty.  Akso, I personally believe in the science and would like to chuck he mask - having completed the vac process ... If I have proof of C19 vaccination - shouldn't I be allowed to do so?",pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
"Drinking in bars and eating out in restaurants while not wearing masks or observing social distancing are self-fixing problems.  Soon the revelers will become infected. Many of them will die.  

Those that die should receive an award in memory of Herman Cain.  

Stupid people have a constitutional right to kill themselves by following the health advice of President Trump and Republican governors.",anti-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
If employers can make a drug test mandatory as part of their hiring process then they can make a Covid vaccine mandatory also.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"The “strategy” of dangling maskless faces in front of the unvaccinated didn’t work.  And no one who actually interacts with people who don’t want to get vaccinated thought that it would. 

All that happened is the unvaccinated, who were grudgingly at least wearing masks much of the time, just stopped wearing a mask.

Now we’re all living a surreal version of Invasion of the Body Snatchers where the unvaccinated and possibly infected look just like the vaccinated. 

Now even if the CDC tries to walk it back they will never again get the amount of grudging compliance they got before.

This was entirely predictable and preventable.",unclear,unclear,pro-mitigation,unclear
"Either vaccines work or they don’t. 
If I’ve been vaccinated how am I contagious? If being vaccinated doesn’t change my risk of being contagious and infected, then why did I let Pfizer shoot chemicals into my body? 
Measles is a highly infectious virus spread by respiratory droplets. I’ve been vaccinated for it (twice actually, but that’s another story) and am not required to wear a mask to prevent me from magically carrying, spreading or being infected by measles, so why am I supposed to wear a mask because of Covid?
I’m vaccinated and that means I can’t carry it or catch it. If that’s not what being vaccinated means then why are we getting vaccinated?",anti-mitigation,anti-mitigation,anti-mitigation,unclear
"the CDC ""guidance"" now puts the onus on each and every individual. there will be blood.",unclear,unclear,anti-mitigation,anti-mitigation
"Show me the real research that supports this. Until I see strong evidence, this is nonsense.",unclear,anti-mitigation,unclear,unclear
"I went to a Costco without a mask yesterday and felt profoundly uncomfortable. It's back to masking indoors for me. I did mask up at the checkout counter out of courtesy to the staff (even those not masked).  I have been afraid to go back to in-person classes at the gym because exercise in a mask is simply not feasible for me. So it's still virtual for me.

People are confused by the conflicting information being put out by the CDC and the WHO. I think this can be attributed to the need of the CDC to balance health with politics and business/economy considerations, whereas the WHO is about health only. I'm putting my lot in with the WHO, because I honestly don't care about what big business wants.",unclear,unclear,pro-mitigation,pro-mitigation
"The only difference between the complete U.S. failure to deal with the pandemic and the success of other countries is Trump and the toady Republicans who do not have either the sense or backbone to act responsibly.

This is an observable fact, not a partisan opinion. Would anyone like to try to prove otherwise--prove using facts, not generic attacks.",unclear,unclear,pro-mitigation,pro-mitigation
"We continue to frame a civic responsibility issue in terms of personal choice.  This is a mistake.  It's a personal choice to obey traffic laws, but your decision affects others rather dramatically.  Despite our cynicism, I'm still confident enough in Americans that if the messaging were changed completely to aim for civic duty or shared responsibility instead of personal choice, participation rates would rise.  Problem is we're not even trying.",unclear,pro-mitigation,unclear,anti-mitigation
"I read the other day that vaccines may actually fuel an increase the virulence and transmittability of mutated viruses, making it even more dangerous to those who are not vaccinated.  So the proposition that when you get vaccinated to protect those who aren't or can't be vaccinated is a very false proposition.  If you rationally stop and think this through isn't this how evolution works, that viruses not previously prevalent could be unleashed by stopping the spread of another type of virus.  This is why the scientists who say vaccines can stop COVID-19 spread maybe true, but they don't go on to say more virulent viruses may take hold, need to be questioned on these assertions.  They may actually be doing more harm than good by calling for vaccinations for all.",anti-mitigation,anti-mitigation,anti-mitigation,unclear
"Religious folks might invoke 'religious freedom' in not being vaccinated but that harkens back to when folks believed religion more so than Science.
You can follow your religion but if it is a safety issue for other folks then you should be able to be excluded. Why is alright from someone's religion choice to put another person in danger?",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Imagine that, privacy is a delicate issue at major corporations like Facebook and Google, and they do t want to be like Big Brother. I thought safety of employees was the top concern for oil and mining companies?",unclear,unclear,unclear,unclear
"Enough! The Times is rife with reports about vaccine hesitancy among disparate groups,' and how it is making it increasing unlikely that this country will ever reach herd immunity. We have tried pop-up clinics, mobile vans, house visits, outreach of all kinds, incentives and bribes, and yet only 9% of the millions of adults who are still unvaccinated have any plans to do so. We are in a public health emergency. Not only the private sector but the government must mandate vaccination for the public health  of us all. Now that the vaccine manufacturers are applying for full authorization, there is no legal excuse not to require it, and every moral reason to. The government cannot allow the irresponsible, ignorant members of our fractured country to continue to endanger the rest of us.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"Personally, I am all in favor of companies enticing and or mandating their employees from the top down are vaccinated. I am also in favor of vaccine passports. I also think OHSA, should require companies to mandate their employees and management  be vaccinated. 

Covid is a major Public Health concern. It is not an infringement of civil liberties to mandate everyone be vaccinated. For instance, there are already OHSA, procedures and regulations regarding employees that test positive for Tuberculosis and other communicable diseases. I believe this will be the most effective way to prioritize the safety of all employees and the Public at large. We are all in this together like it or not.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"How about companies can put a big sign out front if their employees are all vaccinated. It can be a reassurance for those because of chemo, or other immunocompromising situations, can safely enter.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Since it is clearly not safe to hang out at a bar or inside a restaurant, why does my daughter have to teach a full class of 2nd grade English Language Learners in Long Island? They will be in her classroom for breakfast and lunch besides all day learning. They will not be six feet apart! How long will it take to spread to the children, their families and my daughter? 
Opening schools right now clearly makes no sense!",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"What's the big deal about a mask? A lot of you make it sound like wearing a mask is this massive personal sacrifice that imposes on your liberty, freedom, etc. Want to talk about real personal sacrifice for the greater good? Talk to the generation who fought in WWII. That's real sacrifice. Wearing a mask is not a sacrifice. It's easy and takes nothing away from you.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"First, my husband and I agree that we will continue to wear masks, both when outside in crowds or shopping indoors. We are avoiding public transportation.

To add a comment to the article about New York City schools: I teach at a CUNY senior college. I have been teaching at that college, as an adjunct, for 15 years, and have 30 years teaching experience. According to the article, Bill Blasio may deny teachers medical leave if they have been vaccinated and the city deems the risk to be minimal. This would include high-risk populations, and I am at high risk.

I have told my school and department chair that I will not teach face-to-face. The department chair tells me that the university has confirmed that I need not do so, and has listed the course as taught online. However, when I check the registration interface, the course is listed as a TBA. 

I have emailed scheduling and received no response, I suspect because there is a possibility that all courses at my school will be converted to face-to-face and even high-risk teachers, if vaccinated, will be denied medical leaves. Our bluff is being called.

I will quit. Repeat - I will not be there. Other senior teachers will leave, too. Students are registering courses that may be canceled, possibly at the last minute, because their teachers have resigned. 

Is NYC waiting until August, hoping recalcitrant teachers, students and parents will change their minds? I assure the mayor, and our ineffectual union, that I am not bluffing.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"It’s simple. Wear a mask.  Let’s use the information we do know.  Masks help stop the spread of the virus.  We all want to live the way we once did before Covid.  The world has changed and we must adapt.   The sooner we stop resisting the best science advice the sooner we can be at a healthier, safer world.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Within 12 hours of hearing that there are too many active Covid cases for my children to go to school in person AT ALL, I see people drinking/dining inside, the gym sends a ""yippee-back to almost pre pandemic functioning, masks optional if 'working out vigorously'"". I quit the gym, won't eat out until my kids can go back to school. We get carry out, and tip very well to support local businesses. We walk, hike, bike, paddle board, swim in lakes, rivers, the sound, the ocean (the ocean with wetsuits here)-we're hardly stuck inside. We do Airbnb online experiences-cooking, virtual travel tours, etc. I'm disgusted that people don't understand that until the virus is under control we can't have our lives back, we can't have our economy back. The selfishness is astounding...and it will keep going on and on until the stupidity stops...or until we have the majority vaccinated, which will be months after there's a vaccine.  I simply don't understand how people don't get the big picture of how this works, or that our schools ever thought in the spring, given how people are behaving, that there was any hope school could start safely in person. The people hollering about their ""freedom"" (mask-less, of course) are keeping everyone, including themselves, from getting full lives and the economy back.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Pfizer has just applied for full FDA approval for use of their vaccine in people 16 and above. Although approval is expected to take months, their vaccine seems a viable candidate for full approval. 
When full approval occurs, I would imagine insurance companies will respond by placing significant financial pressure on employers to implement Covid vaccine requirements...or suffer much higher rates. 
At that point, most companies will toss their employees' (selfish and imagined) 'personal freedom to not be vaccinated' right out the window. 
Neither insurance companies or private employers will be willing to take on the astonomical costs associated with unnecessary and preventable illness.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
I do not and will not sit 45 hours in an office space with unvaccinated people.  My vaccine is not 100%.  Just not doing it.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Simple:  Don’t want to get a vaccine.  Then bring in a negative test every day—just like many sports teams did.,anti-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
"In east Asia, few would even discuss this topic. This is about pure selfishness of some ppl in this country. The only thing matters for them is ""my personal choice"" without ""being responsible for others"".",unclear,pro-mitigation,pro-mitigation,anti-mitigation
The problem with higher insurance premiums as an incentive for the unvaccinated to act responsibly is that a lot of these people are likely fine going uninsured because they “never get sick” and bad things only happen to other people.,unclear,unclear,pro-mitigation,unclear
"I don't get this rush to separate vaxed from non-vaxed. I got my second Pfizer dose in February and have three months left on my Excelsior pass. Who knows how available boosters are going to be in late August? I'd much rather be exposed a bit now to give myself an update. Sure, I'll keep masking, but at this point variolation could actually help me.",anti-mitigation,unclear,anti-mitigation,pro-mitigation
"Well, we already have a fierce environment of censorship and censoriousness leading to firings and personal destruction, so why not have some actions that accomplish a positive objective for a change?",unclear,unclear,unclear,unclear
"“For the country’s largest companies, mandatory vaccinations would protect service workers and lower the anxiety for returning office employees.”

It would also protect and lower the anxiety for returning customers — you know, the ones whose money pays the bills, the salaries, and the bonuses?  

And lower the anxiety of stock-holders, who may be concerned about organized or de facto boycotts of companies that won’t protect employees or customers, or about the impact of class-action lawsuits that may arise.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"All this personal freedom, privacy, religious freedom, and such has to come to a stop. This is a public health matter, not a personal one.
My freedom not to get infected trumps your freedom to infect me.
It’s past due for the Supreme Court to reaffirm this principle.",pro-mitigation,pro-mitigation,pro-mitigation,unclear
"Science and data show that the vaccinated can neither get nor spread Covid

The data also show that delta is more akin to flu than the alpha in terms of hospitalizations

I’ll go with Science.  If Mr Harmon or the LA health folks want me to go along with their non scientific approach, it’s too late

If you fear Covid, wear two masks and maybe better stay home

But leave me out of it. I’m going with the Science",anti-mitigation,unclear,anti-mitigation,unclear
"We are in a culture of denial. And it's not just about masks. The whole approach of ""reopening"" to ""save"" the economy was misguided at best, deceptive at worst.

The whole idea of reopening while the biological problem is not under control is a recipe for disaster. The govt should have taken steps to ensure that all small businesses and workers would have what they needed to get through the pandemic. 

Forcing businesses to reopen (and many were gung ho about it) is systematically euthanizing them. Many were barely surviving on 100% of their customer base, pre-Covid. Now they have to make it work on 70%? Or 50%? Good luck. Wall Street wants you to go Chapter 11, so hedge funds can snatch up the commercial real estate on the cheap. Just like they did with the housing market in 2010.

So it's no surprise the govt is letting everyone suffer. (Remember, this is a policy choice. Other countries didn't do this.) They're doing it to benefit the corporate elite. People have to unite: renters, landlords, small biz owners, commercial property owners. Unite and hold govt accountable. Call your reps.",unclear,unclear,pro-mitigation,anti-mitigation
"I will still wear a good mask in any public store of any type until the pandemic is really, actually over.  Covid is not gone and continues to mutate: the risk is obvious.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"""Delicate decision""?

Gee, if we had Facebook and Twitter in the 1950s, the manufacture of iron lungs would have been a booming business.",unclear,unclear,unclear,unclear
"Enough of selfishness anti-vaxers already.   I wear a mask for one reason and one reason only - to continue protecting myself.  I feel we still don't have a good understanding of the risks of the various variants and there no reason to immediately disregard masks even though vaccinated.   But, do I care what happens to those who recklessly chose not to get vaccinated, absolutely not.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"If you don't want to get a Covid vaccine shot for whatever reason? Fine. But don't expect everyone else to treat you as if you have had one.

And just because you don't want to get a Covid vaccine shot, don't expect those of us who have to stay in ""lockdown"" mode just because you don't think it is fair that those who have had a shot to be able to start enjoying things again. 

Actions (or inactions) have consequences.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"I find this kind of article unhelpful, have you ever been to India especially in New Delhi if the noise, crowds, incense, feci, poverty, etc….doesn’t get you the smells will. Point I’m trying to make is how can that area go from thousands of people dying from this variant to now something hospitals can control so you ask yourself why didn’t it wipe out more people why don’t the doctors know more. Do we have a new variant every time this virus goes through masses of people that are not vaccinated. If so then masks should be worn for the next five years for allergy sufferers and these variants just tell us what to expect.",pro-mitigation,pro-mitigation,anti-mitigation,anti-mitigation
"I am vaccinated but my body my choice. If others don’t want to be vaccinated so be it. I am not sure why vaccinated people feel the need to only be around others that are vaccinated...so they feel more comfortable..per the article? So their feelings count more than my daughter’s who is frightened of something not FDA approved. As usual, Elitists at work belittling her feelings. The vaccine works against the variants too btw. Give people time to come around!!",unclear,unclear,anti-mitigation,anti-mitigation
"How can a company that requires employees to get vaccinated be found to have invaded an employee's privacy? A worker is not entitled to hold a job in a private company, and (unless constrained by a union contract) a private company can fire an employee at will at any time for any reason, barring discrimination on the basis of race, sex, age or disability.

Companies need to stand up for their employees and customers who have been vaccinated and don't want to risk exposure to Covid-19.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"A bar is not the same thing as a restaurant, even though most of the regulations fail to make that distinction.  A restaurant may include a bar, but many do not.

At bars, people are usually sitting side by side next to each other and often talking loudly -- conditions very conducive to virus transmission.  In restaurants, people are usually sitting at tables, though the distance between tables can vary a lot.  I used to live in Manhattan, and I remember how common it was for restaurants to use banquette seating where diners in single party are seated opposite each other and adjacent to other diners.  On the other hand, restaurants in areas where real estate is not so expensive usually, but not always, place diners at separate non-adjacent tables.

Restaurants can usually accommodate rules about separation of tables, though sometimes at the cost of capacity and therefore of revenue.  But a bar that required its patrons to observe social distancing would have a very hard time operating at all.

My impression is when a restaurant also has a bar, the bar provides a disproportionate portion of its revenue.",unclear,unclear,unclear,unclear
I need to get some plumbing work done in my house. My first requirement is that the plumber be Covid vaccinated. I don't want any unvaccinated persons coming into my home.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Intend to patronize only those businesses that require covid-19 prevention for all employees. Vaccination for those without accepted medical/religious excuses and masks for those who refuse vaccination. This is a public health emergency, not a time to debate ""personal privacy"" with Republicans who are busy denying women their right to privacy when making personal health decisions on pregnancy. Pregnancy, however, is not a highly contagious disease that can be spread to many others. Enough of this ""both sides"" nonsense!",pro-mitigation,pro-mitigation,pro-mitigation,unclear
I certainly won't work anywhere that doesn't require a vaccinated workforce. No job is worth more than my health.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Krispy Kreme was way a head of the game, free donuts to anyone with proof a vaccine.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Why were the job numbers so low today? Maybe one reason is that many people don't feel like it is safe to go back yet. Do you know what would make them feel safe? If all of their co-workers were vaccinated. If employers want to have workers to hire and we all want our economy to get back to a good place, businesses are going to have to require their employees to be vaccinated. I for one am way more likely to go into a place where I feel that my health isn't at risk. Aren't you?",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Wallensky Fauci and Gottlieb all told me not to worry so i wont.  You can for me.,unclear,unclear,unclear,anti-mitigation
"We are at a point in public policy where the risk/reward tradeoffs have become more difficult. What is the obligation of vaccinated people to protect those who refuse to get vaccinated? To protect those who are immunocompromised and would have benefited from mask mandates even before COVID? What steps should we take to shield children under 12 from risk? These are issues that scientists cannot provide definitive answers to: for better or worse, this is the job of our elected representatives and their advisors. This article would help judge the relative risks better if it shared more scientific data behind the tradeoffs as they stand now. Let's see more numbers.",unclear,unclear,unclear,unclear
"In the US there is now enough vaccine that not being vaccinated is an active choice.

If you're not vaccinated you are at risk...and that is completely your choice. That's what you wanted, isn't it? 

And I've stopped masking because I feel no obligation to protect those who have chosen not to take a simple step to protect themselves.",unclear,unclear,anti-mitigation,pro-mitigation
"Why is IBM working with New York State on  a digital passport linking a person's vaccination records to  an app to show business, like performance venues that may  require vaccination ,
when this has been done?

It's called the Excelsior Pass .It's connected to an app
entitled  ""NYS Wallet."" 

My  pass includes my name, date of birth, expiration  date ,  and something similar to a bar code which needs to be scanned.


What am I missing ? I had to check the date of the article to see if this was written months ago.",unclear,unclear,anti-mitigation,anti-mitigation
"I do not understand refusal to get vaccinated.  Employers should make every effort to educate their employees, give them paid time off to go get the shots, give them an extra sick day or 2 to get over it, if needed, and then require that they are vaccinated unless they have a compelling, documented medical reason not to take the vaccine.  In 1970, when I first traveled to Europe, international travelers were required to get certain shots, and to carry a little yellow book with proof.  Nobody objected to that, and there was no world-wide deadly pandemic raging.  What's the matter with people today?  Ignorance will kill us all.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"If companies want to avoid requiring vaccinations, they should instead require mandatory, regular testing for unvaccinated workers, paid for by the workers themselves. Being required to shell out money twice-a-week during unpaid time outside of work might make them reconsider the benefits of being vaccinated. If they don't want to protect themselves and others through vaccination, they should be required to prove they are not endangering others through regular testing.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
